path,kind,ldjson_blocks,top_level,nested,error
/england/bath,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/england/cornwall,editorial-city,4,BreadcrumbList|Collection|Organization|WebSite,BreadcrumbList|Collection|ListItem|Organization|SearchAction|TouristDestination|WebSite,
/portugal/portugal-langtidsferie,editorial-thin,4,BreadcrumbList|Collection|Organization|WebSite,BreadcrumbList|Collection|ListItem|Organization|SearchAction|TouristDestination|WebSite,
/kroatien/trogir,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/italien/ischia,editorial-city,4,BreadcrumbList|Collection|Organization|WebSite,BreadcrumbList|Collection|ListItem|Organization|SearchAction|TouristDestination|WebSite,
/tyrkiet/istanbul,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/italien/rom,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/graekenland/athen,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/graekenland/peloponnes,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/italien/napoli,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/italien/syditalien,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/italien/gardasoeen,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/italien/norditalien,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/italien/verona,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/italien/venedig,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/italien/sicilien,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/italien/ravello,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/frankrig/normandiet,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
/frankrig/provence,editorial-city,5,BreadcrumbList|Collection|ItemList|Organization|WebSite,BreadcrumbList|Collection|ItemList|ListItem|Organization|Product|SearchAction|TouristDestination|WebSite,
