path,kind,departure_state,static_graph_orphan
/albanien,,,0
/armenien,,,0
/belgien,,,0
/blog,,,0
/bosnien,,,0
/bulgarien,,,0
/cypern,,,0
/egypten,,,0
/england,,,0
/estland,,,0
/faeroeerne,,,0
/flere-generationer,,,0
/flodkrydstogter,,,0
/frankrig,,,0
/georgien,,,0
/graekenland,,,0
/historiske-rejser,,,0
/holland,,,0
/indien,,,0
/inspiration,,,1
/irland,,,0
/italien,,,0
/jordan,,,0
/jul-og-nytaar,,,0
/kina,,,0
/kroatien,,,0
/kulturrejser,,,0
/laeserrejser,,,0
/langtidsferier,,,0
/letland,,,0
/litauen,,,0
/madrejser,,,0
/malta,,,0
/marokko,,,0
/montenegro,,,0
/musik-og-underholdning,,,0
/musik-og-underholdning/koncertrejser,,,
/musik-og-underholdning/operarejser,editorial-thin,n/a — no departures section,0
/naturrejser,,,0
/naturrejser/blomsterrejser,editorial-city,n/a — no departures section,0
/naturrejser/haverejser,editorial-city,n/a — no departures section,0
/naturrejser/solfoermoerkelsesrejser,editorial-thin,n/a — no departures section,1
/norge,,,0
/oestrig,,,0
/om-os,,,0
/om-os/job,,,1
/oman,,,0
/polen,,,0
/portugal,,,0
/rejsebetingelser,,,0
/rejseforedrag,,,0
/rejsemal,,,0
/rejsetyper,,,0
/rundrejser,,,0
/safarirejser,,,0
/schweiz,,,0
/serbien,,,0
/skotland,,,0
/slovenien,,,0
/solorejser,,,
/spanien,,,0
/sri-lanka,,,0
/storbyferier,,,0
/sverige,,,0
/sydafrika,,,0
/sydkorea,,,0
/thailand,,,0
/tjekkiet,,,0
/togrejser,,,0
/tryghed,,,1
/tyrkiet,,,0
/tyskland,,,0
/ungarn,,,0
/vandreferier,,,0
/vietnam,,,0
/vinrejser,,,0
/wales,,,0
