url,path,country,booking_links,empty_departures_rendered,empty_label_present,btn_inquiry_rendered,btn_waitlist_rendered,has_price,price_min,word_count,has_product_schema
https://smilrejser.dk/skotland/sommer-i-skotland,/skotland/sommer-i-skotland,skotland,0,1,1,0,0,0,,3080,1
https://smilrejser.dk/sydafrika/sydafrika-cape-cabernet-og-safari,/sydafrika/sydafrika-cape-cabernet-og-safari,sydafrika,2,0,1,0,0,1,22995,4481,1
https://smilrejser.dk/italien/siciliens-riviera,/italien/siciliens-riviera,italien,0,1,1,0,0,0,,2767,1
https://smilrejser.dk/baltikum/den-baltiske-odysse,/baltikum/den-baltiske-odysse,baltikum,0,1,1,0,0,0,,2443,1
https://smilrejser.dk/portugal/haverejse-til-nordportugal,/portugal/haverejse-til-nordportugal,portugal,1,0,1,0,0,1,10995,2844,1
https://smilrejser.dk/bulgarien/bulgariens-skjulte-skatte,/bulgarien/bulgariens-skjulte-skatte,bulgarien,0,1,1,0,0,0,,2505,1
https://smilrejser.dk/flodkrydstogter/douro-deluxe-flodkrydstogt-paa-dourofloden,/flodkrydstogter/douro-deluxe-flodkrydstogt-paa-dourofloden,flodkrydstogter,0,1,1,0,0,0,,1749,1
https://smilrejser.dk/tjekkiet/magiske-prag-en-kulturrejse-i-europas-hjerte,/tjekkiet/magiske-prag-en-kulturrejse-i-europas-hjerte,tjekkiet,0,1,1,0,0,0,,2070,1
https://smilrejser.dk/georgien/vandreferie-i-georgien-svaneti,/georgien/vandreferie-i-georgien-svaneti,georgien,0,1,1,0,0,0,,2234,1
https://smilrejser.dk/italien/sommer-ved-gardasoeen,/italien/sommer-ved-gardasoeen,italien,0,1,1,0,0,0,,2489,1
https://smilrejser.dk/spanien/solformoerkelse-i-spanien-valencia,/spanien/solformoerkelse-i-spanien-valencia,spanien,0,1,1,0,0,0,,1642,1
https://smilrejser.dk/balkan/betagende-syd-balkan,/balkan/betagende-syd-balkan,balkan,0,1,1,0,0,0,,3617,1
https://smilrejser.dk/cypern/charmerende-cypern-kultur-og-livsnydelse,/cypern/charmerende-cypern-kultur-og-livsnydelse,cypern,0,1,1,0,0,0,,1814,1
https://smilrejser.dk/norge/haverejse-til-stavanger,/norge/haverejse-til-stavanger,norge,0,1,1,0,0,0,,2008,1
https://smilrejser.dk/portugal/essensen-af-madeira,/portugal/essensen-af-madeira,portugal,0,1,1,0,0,0,,3166,1
https://smilrejser.dk/jordan/vandreferie-i-jordan,/jordan/vandreferie-i-jordan,jordan,0,1,1,0,0,0,,3338,1
https://smilrejser.dk/portugal/mageloese_madeira_med_blomsterfestivalen,/portugal/mageloese_madeira_med_blomsterfestivalen,portugal,0,1,1,0,0,0,,2918,1
https://smilrejser.dk/italien/napoli-og-amalfikysten-storbyens-puls-og-kystens-hoejdepunkter,/italien/napoli-og-amalfikysten-storbyens-puls-og-kystens-hoejdepunkter,italien,0,1,1,0,0,0,,3067,1
